cuda
Execution time: 3.6003365516662598 seconds
         2518875 function calls (2475024 primitive calls) in 7.201 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     7838    0.013    0.000    0.022    0.000 <frozen importlib._bootstrap_external>:131(_path_join)
27333/27326    0.019    0.000    0.022    0.000 {method 'join' of 'str' objects}
      441    0.002    0.000    0.021    0.000 typing.py:1634(__getitem__)
        1    0.000    0.000    0.021    0.021 Image.py:1(<module>)
        5    0.000    0.000    0.021    0.004 _axes.py:4776(scatter)
      281    0.000    0.000    0.021    0.000 markers.py:220(__init__)
     2391    0.011    0.000    0.021    0.000 functools.py:36(update_wrapper)
       94    0.001    0.000    0.021    0.000 __init__.py:1447(_preprocess_data)
3741/3469    0.003    0.000    0.021    0.000 {built-in method builtins.next}
      130    0.013    0.000    0.021    0.000 library.py:119(define)
   139/58    0.015    0.000    0.021    0.000 backend_agg.py:248(_prepare_font)
      618    0.001    0.000    0.020    0.000 typing.py:1658(copy_with)
      984    0.001    0.000    0.020    0.000 artist.py:1536(is_alias)
      858    0.009    0.000    0.020    0.000 enum.py:251(__set_name__)
        6    0.000    0.000    0.020    0.003 linear_relu.py:1(<module>)
        1    0.000    0.000    0.020    0.020 client.py:1(<module>)
     4409    0.008    0.000    0.020    0.000 artist.py:1549(aliased_name)
      281    0.001    0.000    0.019    0.000 markers.py:299(_set_marker)
     1648    0.003    0.000    0.019    0.000 typing.py:1307(__init__)
       12    0.000    0.000    0.019    0.002 spines.py:142(get_window_extent)
      171    0.019    0.000    0.019    0.000 lines.py:744(draw)
        1    0.000    0.000    0.019    0.019 image.py:1(<module>)
     2427    0.007    0.000    0.019    0.000 copy.py:62(copy)
     1290    0.003    0.000    0.019    0.000 colors.py:278(to_rgba)
      100    0.001    0.000    0.018    0.000 pyplot.py:209(_add_pyplot_note)
        1    0.000    0.000    0.018    0.018 hints_wrap.py:1(<module>)
     2075    0.001    0.000    0.018    0.000 <frozen importlib._bootstrap>:632(cached)
     1032    0.018    0.000    0.018    0.000 {built-in method _io.open_code}
        1    0.000    0.000    0.018    0.018 device_mesh.py:1(<module>)
      122    0.007    0.000    0.018    0.000 __init__.py:358(namedtuple)
       17    0.000    0.000    0.018    0.001 axis.py:1606(_copy_tick_props)
        1    0.000    0.000    0.018    0.018 _utils_internal.py:1(<module>)
      108    0.001    0.000    0.018    0.000 artist.py:784(set_clip_path)
        1    0.000    0.000    0.018    0.018 flex_attention.py:1(<module>)
      326    0.000    0.000    0.018    0.000 _meta_registrations.py:51(register)
     4542    0.012    0.000    0.018    0.000 <frozen importlib._bootstrap>:372(release)
    11132    0.009    0.000    0.017    0.000 enum.py:695(__call__)
      714    0.001    0.000    0.017    0.000 colors.py:224(is_color_like)
        1    0.000    0.000    0.017    0.017 von_mises.py:1(<module>)
     1043    0.002    0.000    0.017    0.000 <frozen importlib._bootstrap_external>:642(_get_cached)
    13582    0.010    0.000    0.017    0.000 typing.py:1294(_is_dunder)
     9635    0.007    0.000    0.017    0.000 __init__.py:778(__getitem__)
 1209/255    0.007    0.000    0.017    0.000 _compiler.py:37(_compile)
      426    0.001    0.000    0.016    0.000 rcsetup.py:332(validate_color)
        1    0.000    0.000    0.016    0.016 axis3d.py:1(<module>)
       51    0.000    0.000    0.016    0.000 lines.py:1338(update_from)
        1    0.000    0.000    0.016    0.016 font_manager.py:1625(_load_fontmanager)
      100    0.001    0.000    0.016    0.000 __init__.py:524(_make_inplace)
        1    0.000    0.000    0.016    0.016 distributed_c10d.py:1(<module>)
      336    0.001    0.000    0.016    0.000 _function_base_impl.py:2517(__call__)
   206/80    0.000    0.000    0.016    0.000 _base.py:1040(get_yaxis_transform)
        1    0.000    0.000    0.016    0.016 node.py:1(<module>)
        1    0.000    0.000    0.016    0.016 font_manager.py:1030(json_load)
        1    0.000    0.000    0.016    0.016 __init__.py:274(load)
     2828    0.016    0.000    0.016    0.000 {method 'reduce' of 'numpy.ufunc' objects}
    23460    0.011    0.000    0.016    0.000 {built-in method builtins.setattr}
    15506    0.016    0.000    0.016    0.000 {method 'split' of 'str' objects}
   215/85    0.000    0.000    0.016    0.000 _base.py:958(get_xaxis_transform)
    41981    0.015    0.000    0.015    0.000 {method 'get' of 'dict' objects}
       77    0.001    0.000    0.015    0.000 typing.py:2979(_make_nmtuple)
      141    0.010    0.000    0.015    0.000 {built-in method builtins.eval}
        1    0.000    0.000    0.015    0.015 __init__.py:299(loads)
        1    0.000    0.000    0.015    0.015 decoder.py:340(decode)
        1    0.004    0.004    0.015    0.015 decoder.py:351(raw_decode)
        1    0.000    0.000    0.015    0.015 _dtype_like.py:1(<module>)
       56    0.001    0.000    0.015    0.000 __init__.py:481(inner)
     1292    0.007    0.000    0.015    0.000 enum.py:354(__setitem__)
        6    0.000    0.000    0.015    0.003 rnn.py:1(<module>)
      336    0.001    0.000    0.015    0.000 _function_base_impl.py:2487(_call_as_normal)
        4    0.000    0.000    0.015    0.004 profiler.py:1(<module>)
        4    0.000    0.000    0.015    0.004 common.py:1(<module>)
       36    0.000    0.000    0.015    0.000 ticker.py:2228(__call__)
     1641    0.012    0.000    0.015    0.000 _ops.py:106(inner)
        1    0.000    0.000    0.015    0.015 quiver.py:1(<module>)
  2975/51    0.006    0.000    0.014    0.000 copy.py:119(deepcopy)
        1    0.000    0.000    0.014    0.014 __init__.py:183(_check_capability)
       60    0.000    0.000    0.014    0.000 typing.py:1446(__or__)
      130    0.001    0.000    0.014    0.000 text.py:157(_reset_visual_defaults)
      336    0.003    0.000    0.014    0.000 _function_base_impl.py:2593(_vectorize_call)
       17    0.001    0.000    0.014    0.001 utils.py:1(<module>)
        6    0.000    0.000    0.014    0.002 __init__.py:927(device_count)
        6    0.000    0.000    0.014    0.002 __init__.py:871(_device_count_nvml)
   204/51    0.002    0.000    0.014    0.000 copy.py:218(_deepcopy_dict)
        6    0.013    0.002    0.014    0.002 __init__.py:727(_raw_device_count_nvml)
       40    0.000    0.000    0.014    0.000 axis.py:234(set_clip_path)
      152    0.000    0.000    0.014    0.000 patches.py:307(get_transform)
     1032    0.014    0.000    0.014    0.000 {method 'read' of '_io.BufferedReader' objects}
       26    0.000    0.000    0.013    0.001 _jit_internal.py:993(_check_overload_body)
       36    0.000    0.000    0.013    0.000 ticker.py:2232(tick_values)
        1    0.000    0.000    0.013    0.013 ExifTags.py:1(<module>)
     2245    0.003    0.000    0.013    0.000 typing.py:1719(__getitem__)
       26    0.000    0.000    0.013    0.001 _sources.py:120(parse_def)
     1338    0.004    0.000    0.013    0.000 copy.py:248(_reconstruct)
     4217    0.013    0.000    0.013    0.000 {built-in method torch._C._get_schema}
       26    0.000    0.000    0.013    0.001 _sources.py:103(make_source_context)
       45    0.002    0.000    0.013    0.000 typing.py:2998(__new__)
        1    0.000    0.000    0.013    0.013 colorizer.py:1(<module>)
      199    0.002    0.000    0.013    0.000 colors.py:325(_to_rgba_no_colorcycle)
        1    0.000    0.000    0.013    0.013 rnn.py:1162(GRU)
     4542    0.009    0.000    0.013    0.000 <frozen importlib._bootstrap>:426(_get_module_lock)
     1610    0.002    0.000    0.013    0.000 <frozen importlib._bootstrap_external>:164(_path_isfile)
        1    0.000    0.000    0.013    0.013 multiarray.py:1(<module>)
       24    0.000    0.000    0.012    0.001 axis.py:946(set_tick_params)
        1    0.000    0.000    0.012    0.012 fake_impls.py:1(<module>)
        2    0.000    0.000    0.012    0.006 overrides.py:1(<module>)
     4542    0.010    0.000    0.012    0.000 <frozen importlib._bootstrap>:74(__new__)
      862    0.001    0.000    0.012    0.000 traceback.py:367(line)
       36    0.002    0.000    0.012    0.000 ticker.py:2159(_raw_ticks)
        1    0.000    0.000    0.012    0.012 compile_time_profiler.py:1(<module>)
      259    0.000    0.000    0.012    0.000 inspect.py:3284(__str__)
    63881    0.012    0.000    0.012    0.000 {built-in method builtins.min}
      231    0.001    0.000    0.012    0.000 path.py:413(iter_bezier)
      113    0.000    0.000    0.012    0.000 utils.py:70(lookup_op)
     6744    0.003    0.000    0.012    0.000 <frozen abc>:117(__instancecheck__)
      259    0.003    0.000    0.012    0.000 inspect.py:3287(format)
       61    0.000    0.000    0.012    0.000 typing.py:580(__getitem__)
       36    0.001    0.000    0.012    0.000 axis.py:1527(get_minorticklocs)
     1767    0.002    0.000    0.012    0.000 <frozen importlib._bootstrap_external>:155(_path_is_mode_type)
      114    0.001    0.000    0.012    0.000 patches.py:800(get_patch_transform)
      443    0.002    0.000    0.012    0.000 transforms.py:804(from_extents)
   105/44    0.001    0.000    0.012    0.000 typing.py:1452(__getitem__)
       72    0.001    0.000    0.012    0.000 ticker.py:214(format_ticks)
